"MaternalVial","vial_letter","PaternalStock","Treatment","co_inds.sum","ycv_count.sum","cvv_count.sum","vf_count.sum","num_M.sum","ycv_rr","cvv_rr","vf_rr","recomb_rate","ycv_rr_kosambi","cvv_rr_kosambi","vf_rr_kosambi","recomb_rate_kosambi"
"25","A","217","0.5x",72,12,20,40,157,0.0764331210191083,0.127388535031847,0.254777070063694,0.45859872611465,7.7036975761018,13.0257448485058,28.1063679820362,48.8358104066438
"25","B","217","0.5x",76,11,24,41,121,0.0909090909090909,0.198347107438017,0.338842975206612,0.628099173553719,9.19311950313294,20.9859818443671,41.2411083228035,71.4202096703035
"25","C","217","0.5x",33,5,12,16,65,0.0769230769230769,0.184615384615385,0.246153846153846,0.507692307692308,7.75387320759599,19.3766075756958,26.9550854259226,54.0855662092144
"25","D","217","0.5x",64,5,26,33,142,0.0352112676056338,0.183098591549296,0.232394366197183,0.450704225352113,3.52696495649764,19.2012122183266,25.1701184853747,47.8982956601989
"26","A","217","0.5x",105,10,36,59,249,0.0401606425702811,0.144578313253012,0.236947791164659,0.421686746987952,4.02473440118999,14.8822847639047,25.7541131213355,44.6611322864301
"26","B","217","0.5x",109,11,39,59,274,0.0401459854014599,0.142335766423358,0.215328467153285,0.397810218978102,4.02325917031593,14.6379129091895,23.0351458135231,41.6963178930286
"26","C","217","0.5x",75,4,32,39,135,0.0296296296296296,0.237037037037037,0.288888888888889,0.555555555555556,2.9664385950329,25.7656236920794,32.9560224468719,61.6880847339842
"26","D","217","0.5x",111,17,44,50,212,0.080188679245283,0.207547169811321,0.235849056603774,0.523584905660377,8.08869964100694,22.0875227262791,25.6126079128597,55.7888302801457
"29","A","217","0.5x",14,1,4,9,42,0.0238095238095238,0.0952380952380952,0.214285714285714,0.333333333333333,2.38275449510812,9.64156202029961,22.9072682968539,34.9315848122616
"29","B","217","0.5x",29,4,12,13,58,0.0689655172413793,0.206896551724138,0.224137931034483,0.5,6.94079341495699,22.0089680662023,24.1270224010897,53.0767838822489
"29","C","217","0.5x",13,3,4,6,27,0.111111111111111,0.148148148148148,0.222222222222222,0.481481481481481,11.2996280935764,15.2727270580743,23.8877861256859,50.4601412773367
"29","D","217","0.5x",50,4,23,23,146,0.0273972602739726,0.157534246575342,0.157534246575342,0.342465753424658,2.74247293141061,16.3081296509922,16.3081296509922,35.3587322333951
"30","A","217","1x",109,8,33,68,282,0.0283687943262411,0.117021276595745,0.24113475177305,0.386524822695035,2.83992944309263,11.9231018022577,26.2968702704105,41.0599015157609
"30","B","217","1x",127,20,44,63,306,0.065359477124183,0.143790849673203,0.205882352941176,0.415032679738562,6.57356165690063,14.7963961627211,21.8867184338475,43.2566762534692
"30","C","217","1x",101,11,30,60,248,0.0443548387096774,0.120967741935484,0.241935483870968,0.407258064516129,4.44717399315222,12.3414455035906,26.4013168562328,43.1899363529757
"30","D","217","1x",108,12,39,57,289,0.041522491349481,0.134948096885813,0.197231833910035,0.373702422145329,4.16183411384827,13.8375928644626,20.8537647005792,38.8531916788901
"31","A","42","1x",7,1,1,5,23,0.0434782608695652,0.0434782608695652,0.217391304347826,0.304347826086957,4.35883467861944,4.35883467861944,23.2889551001236,32.0066244573625
